[0620/232556.384:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:285] ContextResult::kTransientFailure: Failed to send GpuControl.CreateCommandBuffer.
[0620/232609.991:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21b40017ec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232613.282:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21b40017ec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232614.858:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21b40017ec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232616.267:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x21b40017ec00]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/232653.716:ERROR:gpu\ipc\client\command_buffer_proxy_impl.cc:488] GPU state invalid after WaitForGetOffsetInRange.
[0620/232756.284:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x47b40017c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232757.674:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x47b40017c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232758.278:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x47b40017c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/232758.838:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x47b40017c200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0620/233027.566:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45f400194200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/233029.174:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45f400194200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/233029.825:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45f400194200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0620/233030.467:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x45f400194200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
